word,raw_word,length,writing_time,delay,log_prob
the,the,3,0.288,0.16929999998211862,0.0
only,only,4,0.521,0.4202999999821186,-0.12127685546875
ones,ones,4,0.793,0.34640000000596044,-2.494140625
to,to,2,0.357,0.29340000000596045,-0.4482421875
disturb,disturb,7,1.57,0.8218000000119209,-1.1103515625
the,the,3,0.385,0.21719999998807907,-0.027923583984375
peace,peace,5,2.436,0.13970000001788138,-5.04296875
as,as,2,0.185,0.338,-7.0234375
sun,sun,3,0.483,1.3464000000059604,-1.75
is,is,2,0.957,0.6999000000059604,-0.14599609375
rising,rising,6,1.106,0.21480000001192093,-0.78564453125
slowly.,slowly,7,1.301,1.1714000000059606,-21.65625
There,There,5,0.866,0.4153000000119209,-0.078857421875
is,is,2,0.288,0.2682999999821186,-0.004871368408203125
a,a,1,0.124,0.8089000000059605,-0.0164642333984375
big,big,3,0.869,0.505,-1.8876953125
table,table,5,0.85,0.336,-4.4921875
were,were,4,1.617,0.4830999999940395,-11.2734375
all,all,3,0.73,0.426,-0.004871368408203125
the,the,3,1.357,0.5673000000119209,-2.283203125
members,members,7,1.238,0.2627000000178814,-4.56640625
are,are,3,0.55,0.42889999997615813,-1.189453125
"gathered,",gathered,9,2.79,0.32,-10.0625
they,they,4,0.554,0.23869999998807906,-0.70849609375
are,are,3,0.36,0.9142999999821186,-0.131591796875
talking,talking,7,1.561,0.24390000000596046,-1.3349609375
and,and,3,0.387,0.3197999999821186,-0.116943359375
sharing,sharing,7,0.819,2.2440999999940394,-2.408203125
food.,food,5,4.091,1.174199999988079,-18.03125
There,There,5,0.432,0.1912999999821186,-0.00389862060546875
are,are,3,1.347,0.2659000000059605,-0.0145416259765625
not,not,3,0.367,0.3732000000178814,-2.04296875
too,too,3,0.528,0.21490000000596046,-1.595703125
many,many,4,0.573,0.28940000000596044,-0.0019512176513671875
"people,",people,7,2.077,0.32959999999403955,-7.515625
some,some,4,0.717,2.616199999988079,-0.027923583984375
are,are,3,2.772,3.7324000000059603,-0.0212554931640625
better,better,6,7.515,0.3702999999821186,-4.140625
at,at,2,0.546,0.2935,-0.0743408203125
"climbing,",climbing,9,1.878,0.18919999998807907,-3.068359375
some,some,4,0.314,0.16840000000596048,-0.09051513671875
are,are,3,0.27,0.16829999998211861,-0.040191650390625
"not,",not,4,3.071,0.2687999999821186,-2.96875
holding,holding,7,1.902,0.6475999999642372,-1.5703125
tightly,tightly,7,1.997,0.2417000000178814,-4.94140625
to,to,2,0.317,0.2662999999821186,-0.42236328125
the,the,3,0.825,0.21930000001192093,-0.165283203125
ropes,ropes,5,0.871,0.23840000000596046,-0.51513671875
that,that,4,0.373,2.4174000000059603,-0.10382080078125
are,are,3,2.669,0.46,-0.1776123046875
meant,meant,5,14.525,1.5135999999940395,-4.015625
to,to,2,1.147,0.2699000000059605,0.0
protect,protect,7,1.997,0.2662999999821186,-1.61328125
them,them,4,1.299,0.22809999999403954,-0.185791015625
in,in,2,0.284,0.20619999998807906,0.0
case,case,4,0.578,0.16290000000596047,-0.247802734375
of,of,2,0.233,0.46069999995827676,-0.0009760856628417969
falling.,falling,8,1.759,1.0990999999940396,-15.359375
The,The,3,0.557,0.7577999999821186,0.0
water,water,5,3.218,0.2918000000119209,-2.0390625
is,is,2,0.196,0.5015,-0.035491943359375
"calm,",calm,5,1.643,0.16590000000596047,-0.3876953125
even,even,4,0.602,0.2895999999940395,-0.2049560546875
though,though,6,1.052,0.5507000000178814,-0.346435546875
there,there,5,1.226,0.20070000001788138,0.0
is,is,2,0.175,0.45759999999403955,-0.004871368408203125
a,a,1,0.103,0.22,-0.0145416259765625
bit,bit,3,0.359,0.4561000000238419,-3.2890625
of,of,2,0.492,0.2122000000178814,-0.022216796875
wind,wind,4,0.523,0.267,-0.368408203125
and,and,3,0.371,0.5649000000059604,-0.1727294921875
"rain,",rain,5,2.313,0.4581999999880791,-13.7578125
boats,boats,5,2.497,0.3005999999940395,-0.76025390625
are,are,3,0.386,0.6805999999940395,-0.007781982421875
rocking,rocking,7,1.035,0.31760000002384187,-0.68310546875
gently,gently,6,1.793,0.4026999999880791,-3.279296875
and,and,3,0.485,0.21109999999403953,-0.141845703125
there,there,5,0.504,0.20009999999403955,0.0
is,is,2,0.169,0.4098000000119209,-0.0009760856628417969
a,a,1,0.286,0.36019999998807906,-0.974609375
smell,smell,5,0.84,0.24359999999403953,-3.21484375
of,of,2,0.387,0.239,-0.0145416259765625
salt,salt,4,0.467,0.16309999999403954,-1.138671875
in,in,2,0.236,0.146,-0.042999267578125
the,the,3,0.409,0.4083000000119209,0.0
air.,air,4,0.577,1.396199999988079,-3.810546875
The,The,3,0.215,0.193,-0.00681304931640625
place,place,5,0.767,0.4123000000119209,-6.05078125
is,is,2,0.393,0.2457999999821186,-0.0164642333984375
"loud,",loud,5,3.44,0.5469000000059605,-5.4140625
waiters,waiters,7,1.292,0.2492999999821186,-8.7421875
are,are,3,0.343,0.484,-0.023162841796875
rushing,rushing,7,1.13,0.1942999999821186,-7.7890625
and,and,3,0.311,0.21540000000596046,-1.361328125
there,there,5,0.556,0.34010000002384183,0.0
is,is,2,0.272,0.33080000001192095,-1.0478515625
smell,smell,5,2.145,0.21709999999403953,-1.158203125
of,of,2,0.201,0.3062999999821186,-0.09674072265625
pizza,pizza,5,0.88,0.4160999999940395,-3.43359375
in,in,2,0.393,0.1665,-0.060638427734375
the,the,3,1.278,0.262,0.0
"air,",air,4,0.555,0.22069999998807907,-0.05230712890625
specifically,specifically,12,13.027,0.437,-8.2265625
of,of,2,0.193,0.7951000000238418,-4.6640625
olives.,olives,7,2.452,1.1787999999821186,-14.53125
There,There,5,0.941,0.2885,-0.06427001953125
are,are,3,0.359,0.8855999999940395,-0.031707763671875
dancers,dancers,7,1.73,0.4567000000178814,-2.033203125
stretching,stretching,10,2.382,0.4355,-1.0517578125
their,their,5,0.803,0.28840000000596044,-0.0009760856628417969
legs,legs,4,0.771,1.6615,-0.34375
and,and,3,1.372,0.33630000001192095,-0.165283203125
fixing,fixing,6,0.922,0.46940000000596044,-6.03515625
their,their,5,0.604,0.3385,-0.0126190185546875
shoes,shoes,5,0.96,5.795299999982118,-2.125
while,while,5,6.707,1.652100000023842,-5.0078125
watching,watching,8,1.417,0.21840000000596047,-3.279296875
how,how,3,0.293,0.23820000001788139,-0.226318359375
they,they,4,0.59,0.1985,-0.07342529296875
look,look,4,0.965,0.23019999998807908,-0.17919921875
in,in,2,0.266,0.145,-0.027923583984375
the,the,3,0.306,0.3916999999880791,-0.078857421875
mirrors.,mirrors,8,1.326,1.181699999988079,-10.3671875
The,The,3,0.539,0.2591999999880791,-1.818359375
small,small,5,0.814,0.5260999999940396,-18.8125
of,of,2,0.388,0.4977000000178814,-4.95703125
coffee,coffee,6,1.228,0.5053000000119209,-6.3046875
fills,fills,5,1.9,0.2172000000178814,-2.111328125
the,the,3,0.312,0.5299000000059605,-0.0019512176513671875
air,air,3,0.378,5.4108999999761584,-0.87060546875
and,and,3,0.812,0.2950999999940395,-1.29296875
the,the,3,0.376,0.3976000000238419,-0.468017578125
baristas,baristas,8,5.029,1.0571999999880792,-15.8046875
are,are,3,0.995,0.2604000000059605,-0.2208251953125
rushing,rushing,7,0.775,0.3558999999761581,-11.578125
trying,trying,6,1.851,0.2649000000059605,-9.9140625
to,to,2,0.149,0.2870999999940395,-0.0009760856628417969
serve,serve,5,1.364,0.3837999999821186,-1.501953125
everyone.,everyone,9,1.694,1.801300000011921,-17.078125
The,The,3,0.27,0.24059999999403953,-0.026031494140625
sound,sound,5,1.38,0.27879999998211863,-3.53515625
is,is,2,0.276,0.225,-0.11517333984375
"infernal,",infernal,9,6.816,0.4905999999940395,-11.5546875
kids,kids,4,0.385,0.314,-0.84765625
are,are,3,0.409,2.1120999999940393,-0.2509765625
laughing,laughing,8,1.606,0.523699999988079,-1.6044921875
while,while,5,0.891,0.23960000002384185,-2.70703125
parents,parents,7,0.888,0.21960000002384186,-3.658203125
watch,watch,5,0.72,0.23340000000596045,-3.962890625
them,them,4,0.843,0.4335,-5.99609375
and,and,3,0.332,0.6037999999821186,-2.6484375
the,the,3,0.699,0.6956999999880791,-0.00389862060546875
smell,smell,5,1.178,0.4461999999880791,-0.2081298828125
of,of,2,0.434,0.501,-0.00389862060546875
burnt,burnt,5,0.925,0.43509999999403953,-4.11328125
gasoline,gasoline,8,1.944,0.21430000001192093,-5.46875
fills,fills,5,0.508,0.23310000002384185,-0.18408203125
the,the,3,0.355,0.22459999999403954,0.0
air.,air,4,0.439,1.358300000011921,-9.3046875
Many,Many,4,2.26,0.559,-4.32421875
colors,colors,6,1.565,1.2059000000059605,-11.875
in,in,2,1.178,0.26509999999403955,-5.7578125
the,the,3,0.288,0.22109999999403954,-2.470703125
sight,sight,5,0.87,1.6844000000059605,-9.125
and,and,3,0.609,0.667800000011921,-1.5048828125
the,the,3,0.772,0.2155,-1.712890625
mix,mix,3,0.868,0.25780000001192094,-2.84375
of,of,2,0.194,1.2215,-0.01068115234375
different,different,9,2.4,0.22169999998807907,-3.8984375
spices,spices,6,0.978,0.24239999997615813,-1.58203125
smell,smell,5,0.647,0.8619000000059605,-5.109375
fills,fills,5,1.18,0.222,-7.7265625
the,the,3,0.334,0.3777000000178814,-0.0009760856628417969
"air,",air,4,1.621,2.2845999999940396,-0.284423828125
while,while,5,1.343,0.368,-5.0078125
people,people,6,1.176,0.9914999999999999,-6.625
walk,walk,4,2.115,0.559,-5.515625
and,and,3,0.366,0.23709999999403952,-3.8984375
stop,stop,4,0.508,0.30590000000596046,-1.919921875
by,by,2,0.456,0.5001999999880791,-5.7421875
some,some,4,0.603,0.24319999998807906,-6.77734375
shop,shop,4,0.592,0.4457000000178814,-3.322265625
to,to,2,0.916,0.3846999999880791,-7.58203125
take,take,4,0.536,0.21089999997615813,-3.705078125
a,a,1,0.128,0.4083000000119209,-5.953125
look.,look,5,0.947,1.178,-1.0625
Although,Although,8,12.487,0.48819999998807906,-2.953125
the,the,3,0.293,0.288,-0.065185546875
room,room,4,0.579,0.21359999999403953,-2.57421875
is,is,2,0.262,0.26459999999403955,-0.272705078125
"quite,",quite,6,0.664,0.19169999998807907,-14.0390625
there,there,5,0.607,0.30819999998807907,-0.022216796875
are,are,3,0.356,0.28190000000596044,-0.017425537109375
sounds,sounds,6,2.365,0.21510000002384186,-4.25
from,from,4,0.841,0.17190000000596045,-0.351318359375
